home_team,home_team_score,away_team,away_team_score,home_team_conference,away_team_conference
Rider,3,Saint Joseph's,1,MAAC,Atlantic 10
Michigan,2,Bowling Green,0,Big Ten,MVC
DePaul,1,Drake,2,Big East,MVC
Western Mich.,5,Villanova,1,MVC,Big East
Detroit Mercy,1,Chicago St.,2,Horizon,NEC
Massachusetts,1,Providence,2,Atlantic 10,Big East
UMBC,0,FDU,1,America East,NEC
Penn St.,4,St. Bonaventure,0,Big Ten,Atlantic 10
Hofstra,3,Binghamton,2,CAA,America East
Milwaukee,1,St. Thomas (MN),1,Horizon,Summit League
Army West Point,0,Sacred Heart,1,Patriot,MAAC
Davidson,0,Campbell,0,Atlantic 10,CAA
Col. of Charleston,3,Stetson,2,CAA,ASUN
Lehigh,0,Rutgers,2,Patriot,Big Ten
Akron,3,Cleveland St.,3,Big East,Horizon
Queens (NC),3,Presbyterian,1,ASUN,Big South
American,0,Temple,0,Patriot,The American
UNCW,1,South Fla.,1,CAA,The American
Charlotte,2,Furman,0,The American,SoCon
Navy,3,Niagara,0,Patriot,MAAC
Elon,2,Grand Canyon,1,CAA,WAC
Syracuse,0,Le Moyne,1,ACC,NEC
Louisville,3,Bellarmine,1,ACC,ASUN
Maryland,1,Virginia,1,Big Ten,ACC
North Carolina,6,ETSU,0,ACC,SoCon
Kentucky,2,Virginia Tech,2,Sun Belt,ACC
Saint Louis,1,IU Indy,1,Atlantic 10,Horizon
Wisconsin,2,Marquette,1,Big Ten,Big East
UIC,0,Northwestern,1,MVC,Big Ten
Missouri St.,2,Kansas City,3,MVC,Summit League
San Diego St.,0,Vermont,1,WAC,America East
Portland,7,Multnomah,2,WCC,Not D1
Stony Brook,3,George Washington,0,CAA,Atlantic 10
Delaware,4,Saint Peter's,0,CAA,MAAC
George Mason,1,Bucknell,0,Atlantic 10,Patriot
Coastal Carolina,2,USC Upstate,1,Sun Belt,Big South
Robert Morris,2,Saint Francis,1,Horizon,NEC
LIU,1,UMass Lowell,3,NEC,America East
Fairfield,2,Stonehill,3,MAAC,NEC
Butler,1,Indiana,1,Big East,Big Ten
William & Mary,2,Longwood,0,CAA,Big South
UTRGV,5,TAMU-San Antonio,0,WAC,Not D1
Evansville,1,Eastern Ill.,0,MVC,OVC
San Diego,1,Washington,1,WCC,Big Ten
Marquette,0,Purdue Fort Wayne,0,Big East,Horizon
Boston U.,1,Saint Mary's (CA),1,Patriot,WCC
Virginia Tech,2,Presbyterian,1,ACC,Big South
Dartmouth,4,FDU,1,Ivy League,NEC
Western Ill.,4,St. Ambrose,2,OVC,Not D1
Army West Point,0,Marist,1,Patriot,MAAC
Central Ark.,1,Oral Roberts,0,ASUN,Summit League
Mercer,2,Memphis,0,SoCon,The American
UAlbany,0,Siena,1,America East,MAAC
Cleveland St.,0,Mercyhurst,2,Horizon,NEC
Xavier,2,Bradley,2,Big East,MVC
Duquesne,1,Niagara,0,Atlantic 10,MAAC
Fla. Atlantic,0,Utah Valley,1,The American,WAC
Fordham,4,Santa Clara,0,Atlantic 10,WCC
Bryant,1,Merrimack,0,America East,MAAC
Rhode Island,1,Harvard,1,Atlantic 10,Ivy League
Lipscomb,2,Georgia St.,1,ASUN,Sun Belt
Loyola Chicago,4,Wright St.,2,Atlantic 10,Horizon
UCLA,1,Cal St. Fullerton,3,Big Ten,Big West
Gonzaga,2,Utah Tech,0,WCC,WAC
Portland,2,CSU Bakersfield,3,WCC,Big West
CSUN,0,Pacific,0,Big West,WCC
Cal Poly,1,San Jose St.,0,Big West,WAC
North Florida,0,UAB,1,ASUN,AAC
Drake,1,Houston Christian,0,MVC,OVC
Georgetown,2,Cornell,2,Big East,Ivy League
Green Bay,1,Chicago St.,0,Horizon,NEC
Western Mich.,1,Northwestern,0,MVC,Big Ten
Virginia,0,Duke,1,ACC,ACC
Canisius,2,VMI,0,MAAC,SoCon
Sacred Heart,5,Lehigh,0,MAAC,Patriot
La Salle,1,Mount St. Mary's,0,Atlantic 10,MAAC
Binghamton,1,Colgate,1,America East,Patriot
Col. of Charleston,2,Jacksonville,0,CAA,ASUN
Central Conn. St.,1,UConn,2,NEC,Big East
Oakland,0,UIC,1,Horizon,MVC
USC Upstate,2,Liberty,5,Big South,OVC
Princeton,2,New Hampshire,3,Ivy League,America East
Gardner-Webb,3,Wake Forest,1,Big South,ACC
Louisville,1,Notre Dame,2,ACC,ACC
Seton Hall,2,Columbia,0,Big East,Ivy League
Stetson,1,Ga. Southern,2,ASUN,Sun Belt
Providence,1,Rutgers,0,Big East,Big Ten
Old Dominion,1,UMBC,1,Sun Belt,America East
Davidson,2,UNC Greensboro,2,Atlantic 10,SoCon
Boston College,1,Syracuse,1,ACC,ACC
Akron,4,VCU,0,Big East,Atlantic 10
North Carolina,2,St. John's (NY),2,ACC,Big East
Loyola Maryland,0,Saint Joseph's,0,Patriot,Atlantic 10
Clemson,2,Stanford,3,ACC,ACC
Penn,4,Temple,0,Ivy League,The American
South Fla.,3,FGCU,3,The American,ASUN
UCF,5,UC Irvine,1,Sun Belt,Big West
Winthrop,2,Queens (NC),1,Big South,ASUN
Michigan,2,Detroit Mercy,0,Big Ten,Horizon
Michigan St.,1,Air Force,1,Big Ten,WAC
Marshall,2,High Point,0,Sun Belt,Big South
Kentucky,0,Wisconsin,1,Sun Belt,Big Ten
Maryland,2,Brown,1,Big Ten,Ivy League
Missouri St.,1,Tulsa,0,MVC,AAC
Lindenwood,3,Evansville,2,OVC,MVC
NIU,2,Kansas City,6,MVC,Summit League
NC State,2,California,1,ACC,ACC
Creighton,1,Denver,3,Big East,Summit League
Grand Canyon,2,Omaha,0,WAC,Summit League
UC Santa Barbara,4,UNLV,1,Big West,WAC
LMU (CA),1,UC Riverside,2,WCC,Big West
Seattle U,3,San Francisco,2,WAC,WCC
San Diego St.,1,Sacramento St.,0,WAC,Big West
St. Thomas (MN),3,St. Cloud St.,2,Summit League,Not D1
Northeastern,0,Campbell,1,CAA,CAA
ETSU,2,UNCW,2,SoCon,CAA
Le Moyne,2,Delaware,2,NEC,CAA
Vermont,1,American,1,America East,Patriot
George Washington,0,Rider,4,Atlantic 10,MAAC
Stonehill,2,Iona,1,NEC,MAAC
Longwood,2,Navy,1,Big South,Patriot
Elon,3,Drexel,1,CAA,CAA
Bellarmine,0,UNC Asheville,0,ASUN,Big South
Villanova,1,Lafayette,1,Big East,Patriot
Quinnipiac,1,St. Bonaventure,2,MAAC,Atlantic 10
William & Mary,0,Hofstra,1,CAA,CAA
UMass Lowell,2,Holy Cross,1,America East,Patriot
Radford,0,Wofford,1,Big South,SoCon
Manhattan,2,LIU,1,MAAC,NEC
Monmouth,2,Stony Brook,2,CAA,CAA
George Mason,4,Howard,3,Atlantic 10,NEC
South Carolina,2,Belmont,1,Sun Belt,MVC
NJIT,4,Saint Peter's,0,America East,MAAC
Bucknell,0,Saint Francis,3,Patriot,NEC
Bowling Green,3,Butler,2,MVC,Big East
Yale,3,Massachusetts,4,Ivy League,Atlantic 10
UTRGV,1,UIW,2,WAC,OVC
SMU,1,Pittsburgh,3,ACC,ACC
Mercer,2,Southern Ind.,0,SoCon,OVC
Northern Ky.,3,Western Ill.,0,Horizon,OVC
Dartmouth,2,Saint Mary's (CA),2,Ivy League,WCC
Western Mich.,5,Air Force,1,MVC,WAC
Niagara,5,VMI,0,MAAC,SoCon
DePaul,4,Wright St.,1,Big East,Horizon
Lindenwood,5,Westminster (MO),0,OVC,Not D1
Furman,0,Virginia Tech,3,SoCon,ACC
Cal Poly,3,Gonzaga,0,Big West,WCC
Oregon St.,1,UC Davis,2,WCC,Big West
Georgia St.,1,Memphis,3,Sun Belt,The American
Boston U.,1,Santa Clara,2,Patriot,WCC
Ohio St.,3,Xavier,1,Big Ten,Big East
FGCU,0,Utah Valley,2,ASUN,WAC
SIUE,1,Saint Louis,0,OVC,Atlantic 10
Lipscomb,2,Charlotte,3,ASUN,The American
Portland,1,Utah Tech,1,WCC,WAC
California Baptist,2,West Virginia,3,WAC,Sun Belt
UC San Diego,1,San Diego,2,Big West,WCC
Stetson,1,UAB,1,ASUN,AAC
Bradley,1,Green Bay,2,MVC,Horizon
Robert Morris,0,Mercyhurst,1,Horizon,NEC
Saint Joseph's,2,Army West Point,1,Atlantic 10,Patriot
Ga. Southern,4,North Florida,1,Sun Belt,ASUN
Akron,1,IU Indy,2,Big East,Horizon
Coastal Carolina,2,Presbyterian,3,Sun Belt,Big South
Wake Forest,1,Radford,0,ACC,Big South
South Fla.,2,UC Irvine,1,The American,Big West
Providence,0,Rhode Island,1,Big East,Atlantic 10
James Madison,1,Georgetown,0,Sun Belt,Big East
Penn,3,Fordham,1,Ivy League,Atlantic 10
Oakland,3,Michigan St.,0,Horizon,Big Ten
Rutgers,1,Seton Hall,3,Big Ten,Big East
Northwestern,1,Marquette,0,Big Ten,Big East
UConn,2,Siena,1,Big East,MAAC
Penn St.,2,Cornell,3,Big Ten,Ivy League
Marist,0,UAlbany,2,MAAC,America East
Maryland,1,San Diego St.,1,Big Ten,WAC
Kentucky,0,Louisville,1,Sun Belt,ACC
Drake,2,Kansas City,0,MVC,Summit League
Indiana,0,Dayton,2,Big Ten,Atlantic 10
Omaha,2,Houston Christian,2,Summit League,OVC
Chicago St.,0,Milwaukee,3,NEC,Horizon
Grand Canyon,0,Creighton,1,WAC,Big East
UCLA,0,Denver,0,Big Ten,Summit League
Pacific,0,UC Santa Barbara,1,WCC,Big West
Washington,2,Seattle U,1,Big Ten,WAC
Quinnipiac,5,Central Conn. St.,1,MAAC,NEC
UNC Asheville,1,Wofford,0,Big South,SoCon
Lehigh,2,Vermont,3,Patriot,America East
Drexel,2,Temple,0,CAA,The American
NC State,7,Winthrop,0,ACC,Big South
Holy Cross,0,Stonehill,1,Patriot,NEC
Northeastern,4,Merrimack,1,CAA,MAAC
Queens (NC),1,Col. of Charleston,3,ASUN,CAA
Bellarmine,1,Belmont,1,ASUN,MVC
South Carolina,4,USC Upstate,0,Sun Belt,Big South
Sacred Heart,1,NJIT,0,MAAC,America East
UNC Greensboro,2,Longwood,0,SoCon,Big South
Navy,0,George Washington,1,Patriot,Atlantic 10
Delaware,2,Mount St. Mary's,1,CAA,MAAC
Old Dominion,2,William & Mary,0,Sun Belt,CAA
Brown,0,FDU,0,Ivy League,NEC
Butler,4,Evansville,1,Big East,MVC
St. John's (NY),1,Princeton,2,Big East,Ivy League
Lafayette,0,Binghamton,1,Patriot,America East
UNCW,0,George Mason,1,CAA,Atlantic 10
Monmouth,1,La Salle,0,CAA,Atlantic 10
Bryant,3,Iona,1,America East,MAAC
Clemson,6,Loyola Maryland,0,ACC,Patriot
Marshall,2,Gardner-Webb,0,Sun Belt,Big South
Central Ark.,0,Missouri St.,2,ASUN,MVC
Tulsa,2,Oral Roberts,2,AAC,Summit League
Notre Dame,1,Duquesne,1,ACC,Atlantic 10
LMU (CA),0,West Virginia,0,WCC,Sun Belt
Stanford,3,UC Riverside,0,ACC,Big West
LIU,2,Fairfield,1,NEC,MAAC
Le Moyne,2,Saint Peter's,0,NEC,MAAC
Massachusetts,7,UMass Lowell,1,Atlantic 10,America East
Manhattan,1,Columbia,0,MAAC,Ivy League
Davidson,0,Furman,0,Atlantic 10,SoCon
FIU,4,UCF,3,The American,Sun Belt
High Point,1,ETSU,0,Big South,SoCon
