home_team,home_team_score,away_team,away_team_score,home_team_conference,away_team_conference
Cal St. Fullerton,2,CSU Bakersfield,2,Big West,Big West
UC San Diego,1,CSUN,0,Big West,Big West
FDU,3,Central Conn. St.,0,NEC,NEC
Stonehill,3,Howard,3,NEC,NEC
Mercyhurst,4,Chicago St.,0,NEC,NEC
ETSU,2,VMI,0,SoCon,SoCon
UIW,2,Western Ill.,1,OVC,OVC
Air Force,0,Seattle U,2,WAC,WAC
UTRGV,0,Grand Canyon,2,WAC,WAC
LIU,1,Saint Francis,1,NEC,NEC
Utah Tech,0,San Diego St.,1,WAC,WAC
Lindenwood,6,Eastern Ill.,0,OVC,OVC
Northwestern,4,Trine,0,Big Ten,Not D1
UC Santa Barbara,0,Cal Poly,0,Big West,Big West
Missouri St.,7,NIU,0,MVC,MVC
Houston Christian,0,Liberty,1,OVC,OVC
UNLV,2,California Baptist,2,WAC,WAC
Penn St.,2,Rutgers,1,Big Ten,Big Ten
Pittsburgh,2,Denver,0,ACC,Summit League
Ohio St.,2,Washington,0,Big Ten,Big Ten
DePaul,3,Oakland,1,Big East,Horizon
Villanova,3,Columbia,2,Big East,Ivy League
Vermont,1,UConn,0,America East,Big East
Binghamton,1,Bucknell,1,America East,Patriot
Stony Brook,2,Seton Hall,1,CAA,Big East
Notre Dame,0,Michigan,1,ACC,Big Ten
Holy Cross,1,Brown,2,Patriot,Ivy League
Cleveland St.,3,Xavier,1,Horizon,Big East
Boston U.,1,Harvard,1,Patriot,Ivy League
Louisville,4,Lipscomb,2,ACC,ASUN
Dartmouth,0,New Hampshire,0,Ivy League,America East
St. John's (NY),0,Loyola Maryland,1,Big East,Patriot
UNC Greensboro,3,Radford,0,SoCon,Big South
Coastal Carolina,1,Campbell,0,Sun Belt,CAA
Elon,1,Duke,2,CAA,ACC
Virginia,1,James Madison,0,ACC,Sun Belt
Akron,6,Wright St.,1,Big East,Horizon
North Carolina,3,Col. of Charleston,0,ACC,CAA
UMBC,0,Georgetown,0,America East,Big East
Penn,3,Hofstra,1,Ivy League,CAA
Providence,1,Syracuse,2,Big East,ACC
Bowling Green,5,Detroit Mercy,2,MVC,Horizon
Wake Forest,0,Wofford,0,ACC,SoCon
IU Indy,0,Butler,0,Horizon,Big East
Winthrop,0,Gardner-Webb,1,Big South,Big South
USC Upstate,1,Furman,3,Big South,SoCon
Indiana,3,Kentucky,2,Big Ten,Sun Belt
Belmont,1,Covenant,0,MVC,Not D1
Marquette,1,Milwaukee,1,Big East,Horizon
Tulsa,1,Central Ark.,1,AAC,ASUN
George Washington,0,St. Bonaventure,0,Atlantic 10,Atlantic 10
Massachusetts,1,Dayton,1,Atlantic 10,Atlantic 10
St. Thomas (MN),1,Green Bay,3,Summit League,Horizon
Saint Mary's (CA),0,Oregon St.,2,WCC,WCC
Duquesne,3,Rhode Island,0,Atlantic 10,Atlantic 10
Saint Joseph's,0,La Salle,3,Atlantic 10,Atlantic 10
Fordham,2,Saint Louis,2,Atlantic 10,Atlantic 10
Davidson,2,VCU,1,Atlantic 10,Atlantic 10
George Mason,2,Loyola Chicago,1,Atlantic 10,Atlantic 10
Omaha,1,Creighton,2,Summit League,Big East
Gonzaga,2,San Francisco,3,WCC,WCC
Cal St. Fullerton,4,UC San Diego,1,Big West,Big West
CSU Bakersfield,1,UC Santa Barbara,1,Big West,Big West
Cal Poly,3,Sacramento St.,1,Big West,Big West
CSUN,2,UC Davis,2,Big West,Big West
Pacific,2,Portland,2,WCC,WCC
UC Riverside,1,UC Irvine,0,Big West,Big West
Eastern Ill.,1,UIW,4,OVC,OVC
Mercyhurst,3,Saint Francis,0,NEC,NEC
Western Ill.,1,Liberty,0,OVC,OVC
UTRGV,1,Utah Valley,1,WAC,WAC
Southern Ind.,0,Houston Christian,2,OVC,OVC
Lindenwood,0,SIUE,2,OVC,OVC
Grand Canyon,1,Air Force,2,WAC,WAC
Seattle U,1,UNLV,1,WAC,WAC
San Jose St.,0,Utah Tech,0,WAC,WAC
Marist,4,Canisius,1,MAAC,MAAC
SMU,2,Stanford,2,ACC,ACC
Lehigh,3,American,1,Patriot,Patriot
Virginia Tech,0,NC State,0,ACC,ACC
Navy,1,Army West Point,2,Patriot,Patriot
Notre Dame,1,North Carolina,1,ACC,ACC
Delaware,3,UNCW,1,CAA,CAA
Pittsburgh,0,California,1,ACC,ACC
Fla. Atlantic,3,South Fla.,1,The American,The American
Kentucky,1,Old Dominion,0,Sun Belt,Sun Belt
Georgia St.,0,South Carolina,2,Sun Belt,Sun Belt
Boston College,0,Virginia,1,ACC,ACC
Ga. Southern,2,West Virginia,4,Sun Belt,Sun Belt
High Point,5,Longwood,0,Big South,Big South
Central Ark.,1,Jacksonville,2,ASUN,ASUN
Michigan St.,2,Wisconsin,0,Big Ten,Big Ten
Indiana,2,Penn St.,0,Big Ten,Big Ten
Rutgers,1,Northwestern,2,Big Ten,Big Ten
Louisville,2,Clemson,3,ACC,ACC
UCLA,2,Ohio St.,1,Big Ten,Big Ten
Washington,2,Maryland,3,Big Ten,Big Ten
Robert Morris,3,Wright St.,1,Horizon,Horizon
Loyola Maryland,2,Colgate,1,Patriot,Patriot
UMass Lowell,1,Bryant,2,America East,America East
George Washington,2,Saint Joseph's,0,Atlantic 10,Atlantic 10
Stonehill,0,Le Moyne,2,NEC,NEC
Col. of Charleston,1,Northeastern,1,CAA,CAA
Boston U.,1,Bucknell,0,Patriot,Patriot
VMI,0,Mercer,3,SoCon,SoCon
Stony Brook,1,Drexel,2,CAA,CAA
Temple,0,Memphis,0,The American,The American
Seton Hall,2,Butler,1,Big East,Big East
Oakland,1,Purdue Fort Wayne,0,Horizon,Horizon
Detroit Mercy,2,Milwaukee,1,Horizon,Horizon
Niagara,1,Iona,5,MAAC,MAAC
Saint Peter's,1,Manhattan,1,MAAC,MAAC
Hofstra,1,Campbell,0,CAA,CAA
St. Thomas (MN),0,Oral Roberts,2,Summit League,Summit League
Green Bay,0,Northern Ky.,0,Horizon,Horizon
Marquette,0,Providence,1,Big East,Big East
USC Upstate,3,Radford,2,Big South,Big South
UC Davis,2,Cal St. Fullerton,1,Big West,Big West
NIU,1,Western Mich.,2,MVC,MVC
Mount St. Mary's,2,Sacred Heart,2,MAAC,MAAC
Merrimack,0,Siena,3,MAAC,MAAC
Dartmouth,2,Columbia,2,Ivy League,Ivy League
La Salle,0,St. Bonaventure,1,Atlantic 10,Atlantic 10
Rider,2,Quinnipiac,0,MAAC,MAAC
Princeton,0,Cornell,1,Ivy League,Ivy League
Penn,2,Brown,0,Ivy League,Ivy League
Lafayette,2,Holy Cross,0,Patriot,Patriot
Yale,0,Harvard,1,Ivy League,Ivy League
New Hampshire,1,Binghamton,2,America East,America East
William & Mary,0,Monmouth,1,CAA,CAA
Queens (NC),1,Stetson,2,ASUN,ASUN
Davidson,4,Massachusetts,2,Atlantic 10,Atlantic 10
Cleveland St.,2,IU Indy,1,Horizon,Horizon
Xavier,0,Creighton,1,Big East,Big East
Duke,0,Wake Forest,0,ACC,ACC
St. John's (NY),4,DePaul,1,Big East,Big East
UConn,0,Georgetown,1,Big East,Big East
UNC Greensboro,1,Furman,0,SoCon,SoCon
Dayton,2,Fordham,4,Atlantic 10,Atlantic 10
VCU,1,Loyola Chicago,2,Atlantic 10,Atlantic 10
Wofford,0,ETSU,2,SoCon,SoCon
Akron,3,Villanova,2,Big East,Big East
Charlotte,0,FIU,0,The American,The American
UMBC,2,UAlbany,3,America East,America East
James Madison,0,Coastal Carolina,0,Sun Belt,Sun Belt
Bowling Green,0,Drake,0,MVC,MVC
George Mason,1,Duquesne,2,Atlantic 10,Atlantic 10
Belmont,1,Missouri St.,2,MVC,MVC
LMU (CA),1,Pacific,0,WCC,WCC
Rhode Island,0,Saint Louis,1,Atlantic 10,Atlantic 10
Gardner-Webb,2,Presbyterian,2,Big South,Big South
Winthrop,2,UNC Asheville,0,Big South,Big South
Evansville,3,UIC,1,MVC,MVC
UAB,1,Tulsa,1,AAC,AAC
Lipscomb,1,North Florida,2,ASUN,ASUN
Kansas City,1,Denver,0,Summit League,Summit League
UC Irvine,0,UC Santa Barbara,1,Big West,Big West
CSU Bakersfield,2,CSUN,1,Big West,Big West
Cal Poly,0,UC Riverside,0,Big West,Big West
Santa Clara,0,Saint Mary's (CA),0,WCC,WCC
UC San Diego,2,Sacramento St.,0,Big West,Big West
California Baptist,1,San Diego St.,2,WAC,WAC
Southern Ind.,0,UIW,0,OVC,OVC
LIU,2,FDU,1,NEC,NEC
UTRGV,5,Air Force,1,WAC,WAC
SIUE,3,Liberty,1,OVC,OVC
Vermont,2,NJIT,0,America East,America East
Central Conn. St.,2,Chicago St.,4,NEC,NEC
Saint Francis,3,Howard,0,NEC,NEC
Eastern Ill.,0,Houston Christian,3,OVC,OVC
Seattle U,1,Utah Tech,0,WAC,WAC
San Francisco,1,Portland,1,WCC,WCC
Lindenwood,1,Western Ill.,0,OVC,OVC
San Jose St.,0,UNLV,0,WAC,WAC
UCF,0,Marshall,2,Sun Belt,Sun Belt
Grand Canyon,1,Utah Valley,0,WAC,WAC
Boston College,5,Suffolk,1,ACC,Not D1
Pittsburgh,0,High Point,1,ACC,Big South
La Salle,6,Neumann,0,Atlantic 10,Not D1
Western Mich.,2,Green Bay,0,MVC,Horizon
Bellarmine,1,IU Indy,0,ASUN,Horizon
Le Moyne,1,Lafayette,2,NEC,Patriot
Massachusetts,1,Holy Cross,0,Atlantic 10,Patriot
Colgate,1,Cornell,4,Patriot,Ivy League
NC State,1,Hofstra,1,ACC,CAA
Temple,2,Mercyhurst,0,The American,NEC
Lehigh,0,Fairfield,0,Patriot,MAAC
Northeastern,4,Dartmouth,2,CAA,Ivy League
New Hampshire,1,Yale,0,America East,Ivy League
ETSU,3,Gardner-Webb,1,SoCon,Big South
UNCW,1,Wake Forest,4,CAA,ACC
St. Bonaventure,4,Bucknell,1,Atlantic 10,Patriot
William & Mary,2,North Carolina,5,CAA,ACC
FGCU,0,Fla. Atlantic,3,ASUN,The American
Maryland,2,George Mason,0,Big Ten,Atlantic 10
Presbyterian,0,Furman,2,Big South,SoCon
Memphis,1,Missouri St.,3,The American,MVC
Georgia St.,1,Mercer,1,Sun Belt,SoCon
Monmouth,1,Penn,0,CAA,Ivy League
Clemson,4,Queens (NC),2,ACC,ASUN
Princeton,0,Army West Point,1,Ivy League,Patriot
Ga. Southern,1,James Madison,3,Sun Belt,Sun Belt
Virginia Tech,6,Winthrop,0,ACC,Big South
Saint Joseph's,2,Mount St. Mary's,0,Atlantic 10,MAAC
Delaware,4,George Washington,1,CAA,Atlantic 10
UNC Greensboro,4,Elon,1,SoCon,CAA
Dayton,5,West Virginia,1,Atlantic 10,Sun Belt
Kentucky,2,Bradley,2,Sun Belt,MVC
Wofford,0,Longwood,1,SoCon,Big South
UConn,0,Bryant,0,Big East,America East
Virginia,4,American,2,ACC,Patriot
Michigan,0,Indiana,5,Big Ten,Big Ten
SMU,1,Central Ark.,0,ACC,ASUN
Northwestern,0,Wisconsin,0,Big Ten,Big Ten
VMI,10,Mary Baldwin,0,SoCon,Not D1
Western Ill.,2,Southern Ind.,0,OVC,OVC
Sacramento St.,5,CSUN,0,Big West,Big West
Col. of Charleston,2,North Florida,1,CAA,ASUN
VCU,1,FIU,1,Atlantic 10,The American
Duke,10,Howard,0,ACC,NEC
Louisville,2,Evansville,2,ACC,MVC
Denver,2,Omaha,0,Summit League,Summit League
Oral Roberts,1,Kansas City,2,Summit League,Summit League
UC Irvine,1,CSU Bakersfield,0,Big West,Big West
UC Santa Barbara,3,UC Davis,1,Big West,Big West
UC Riverside,3,Cal St. Fullerton,3,Big West,Big West
UC San Diego,1,Cal Poly,0,Big West,Big West
FDU,1,Stonehill,3,NEC,NEC
San Diego St.,2,Seattle U,1,WAC,WAC
Liberty,2,Eastern Ill.,0,OVC,OVC
Houston Christian,1,Lindenwood,1,OVC,OVC
UIW,0,SIUE,0,OVC,OVC
Utah Tech,1,Grand Canyon,0,WAC,WAC
San Diego,2,Santa Clara,1,WCC,WCC
California Baptist,3,San Jose St.,0,WAC,WAC
San Francisco,2,Stanford,0,WCC,ACC
UNLV,2,UTRGV,0,WAC,WAC
Rutgers,0,UCLA,3,Big Ten,Big Ten
Indiana,3,Michigan St.,1,Big Ten,Big Ten
UCF,2,Old Dominion,0,Sun Belt,Sun Belt
South Fla.,1,Memphis,0,The American,The American
Winthrop,0,High Point,3,Big South,Big South
Ga. Southern,1,Georgia St.,1,Sun Belt,Sun Belt
UIC,0,Belmont,1,MVC,MVC
Tulsa,0,Charlotte,1,AAC,The American
Coastal Carolina,0,Marshall,0,Sun Belt,Sun Belt
Northwestern,1,Michigan,0,Big Ten,Big Ten
Portland,2,California,0,WCC,ACC
Oregon St.,4,Gonzaga,2,WCC,WCC
Washington,3,Penn St.,1,Big Ten,Big Ten
St. Bonaventure,1,Dayton,2,Atlantic 10,Atlantic 10
Providence,1,St. John's (NY),1,Big East,Big East
Brown,3,Harvard,1,Ivy League,Ivy League
West Virginia,1,South Carolina,0,Sun Belt,Sun Belt
Georgetown,2,Seton Hall,0,Big East,Big East
Northeastern,6,Delaware,0,CAA,CAA
Loyola Maryland,4,Lehigh,1,Patriot,Patriot
Drexel,1,William & Mary,1,CAA,CAA
Saint Peter's,1,Merrimack,2,MAAC,MAAC
IU Indy,2,Northern Ky.,1,Horizon,Horizon
Bradley,1,Drake,2,MVC,MVC
UNCW,4,Stony Brook,0,CAA,CAA
DePaul,0,Akron,4,Big East,Big East
Canisius,1,Sacred Heart,2,MAAC,MAAC
Colgate,0,Boston U.,1,Patriot,Patriot
NJIT,2,UAlbany,1,America East,America East
Radford,0,UNC Asheville,0,Big South,Big South
Siena,2,Iona,1,MAAC,MAAC
Quinnipiac,0,Marist,2,MAAC,MAAC
Wright St.,1,Oakland,2,Horizon,Horizon
Columbia,1,Princeton,2,Ivy League,Ivy League
Loyola Chicago,2,La Salle,1,Atlantic 10,Atlantic 10
Mount St. Mary's,1,Niagara,0,MAAC,MAAC
Creighton,3,Villanova,1,Big East,Big East
Vermont,1,Bryant,0,America East,America East
Saint Joseph's,1,George Mason,4,Atlantic 10,Atlantic 10
Sacramento St.,3,UC Santa Barbara,1,Big West,Big West
NC State,5,SMU,1,ACC,ACC
North Carolina,1,Pittsburgh,2,ACC,ACC
Fordham,3,George Washington,1,Atlantic 10,Atlantic 10
Jacksonville,0,Queens (NC),0,ASUN,ASUN
Binghamton,1,UMass Lowell,0,America East,America East
New Hampshire,2,UMBC,1,America East,America East
Fairfield,0,Rider,1,MAAC,MAAC
Purdue Fort Wayne,1,Detroit Mercy,1,Horizon,Horizon
FGCU,2,Lipscomb,0,ASUN,ASUN
Xavier,0,Marquette,0,Big East,Big East
Campbell,0,Col. of Charleston,2,CAA,CAA
Dartmouth,4,Yale,0,Ivy League,Ivy League
Notre Dame,1,Boston College,1,ACC,ACC
Butler,0,UConn,1,Big East,Big East
Duquesne,1,Davidson,0,Atlantic 10,Atlantic 10
Wake Forest,2,Virginia Tech,1,ACC,ACC
Stetson,1,Central Ark.,1,ASUN,ASUN
North Florida,3,Bellarmine,0,ASUN,ASUN
Wofford,3,UNC Greensboro,2,SoCon,SoCon
Mercer,0,ETSU,1,SoCon,SoCon
Virginia,3,Syracuse,0,ACC,ACC
James Madison,2,Kentucky,0,Sun Belt,Sun Belt
Furman,4,VMI,1,SoCon,SoCon
American,1,Lafayette,0,Patriot,Patriot
Monmouth,1,Elon,0,CAA,CAA
Presbyterian,1,USC Upstate,2,Big South,Big South
Rhode Island,1,Massachusetts,2,Atlantic 10,Atlantic 10
Longwood,1,Gardner-Webb,2,Big South,Big South
Wisconsin,2,Ohio St.,3,Big Ten,Big Ten
Milwaukee,1,Cleveland St.,0,Horizon,Horizon
Omaha,0,Oral Roberts,1,Summit League,Summit League
UAB,0,Temple,1,AAC,The American
Saint Louis,1,VCU,1,Atlantic 10,Atlantic 10
Kansas City,1,St. Thomas (MN),2,Summit League,Summit League
NIU,1,Evansville,2,MVC,MVC
Cal St. Fullerton,0,Cal Poly,1,Big West,Big West
CSU Bakersfield,3,UC San Diego,1,Big West,Big West
CSUN,0,UC Irvine,1,Big West,Big West
UC Riverside,1,UC Davis,1,Big West,Big West
Saint Francis,3,Chicago St.,1,NEC,NEC
Cornell,2,Penn,3,Ivy League,Ivy League
Stonehill,3,Mercyhurst,3,NEC,NEC
Le Moyne,4,Central Conn. St.,0,NEC,NEC
Robert Morris,5,Green Bay,0,Horizon,Horizon
Holy Cross,3,Navy,0,Patriot,Patriot
Army West Point,0,Bucknell,1,Patriot,Patriot
Liberty,5,Southern Ind.,0,OVC,OVC
UIW,2,Lindenwood,2,OVC,OVC
Houston Christian,1,SIUE,0,OVC,OVC
Howard,4,LIU,1,NEC,NEC
Air Force,0,Utah Valley,2,WAC,WAC
Western Ill.,1,Eastern Ill.,2,OVC,OVC
Utah Tech,1,UTRGV,1,WAC,WAC
San Diego St.,1,San Jose St.,0,WAC,WAC
FIU,1,Fla. Atlantic,2,The American,The American
California Baptist,0,Seattle U,1,WAC,WAC
Missouri St.,2,Bowling Green,1,MVC,MVC
UNLV,0,Grand Canyon,0,WAC,WAC
Maryland,1,UCLA,1,Big Ten,Big Ten
Stanford,1,Pacific,1,ACC,WCC
Washington,2,LMU (CA),0,Big Ten,WCC
Gardner-Webb,3,UAB,2,Big South,AAC
California,4,Saint Mary's (CA),2,ACC,WCC
Presbyterian,1,UNC Asheville,2,Big South,Big South
Furman,2,Wofford,0,SoCon,SoCon
Duquesne,1,Northern Ky.,0,Atlantic 10,Horizon
UAlbany,3,Colgate,1,America East,Patriot
Notre Dame,5,UIC,0,ACC,MVC
Duke,5,Queens (NC),0,ACC,ASUN
Lafayette,4,Stony Brook,2,Patriot,CAA
Louisville,4,Milwaukee,0,ACC,Horizon
Wright St.,3,Bellarmine,2,Horizon,ASUN
South Fla.,1,Hofstra,3,The American,CAA
Davidson,8,JWU (Charlotte),0,Atlantic 10,Not D1
Michigan St.,0,Michigan,0,Big Ten,Big Ten
Clemson,6,USC Upstate,0,ACC,Big South
NJIT,2,Drexel,1,America East,CAA
Fordham,0,Princeton,1,Atlantic 10,Ivy League
Detroit Mercy,1,Western Mich.,4,Horizon,MVC
Campbell,1,Winthrop,0,CAA,Big South
Loyola Chicago,4,Olivet Nazarene,1,Atlantic 10,Not D1
Iona,1,Marist,0,MAAC,MAAC
DePaul,2,Marquette,2,Big East,Big East
Villanova,3,Georgetown,3,Big East,Big East
Siena,1,Canisius,1,MAAC,MAAC
William & Mary,2,NC State,4,CAA,ACC
UC Davis,1,CSU Bakersfield,0,Big West,Big West
Sacred Heart,3,Saint Peter's,1,MAAC,MAAC
Manhattan,4,Quinnipiac,2,MAAC,MAAC
Seton Hall,0,St. John's (NY),1,Big East,Big East
UConn,1,Providence,2,Big East,Big East
UNC Greensboro,3,UNCW,1,SoCon,CAA
Elon,0,Charlotte,2,CAA,The American
Butler,5,Xavier,1,Big East,Big East
Merrimack,2,Fairfield,2,MAAC,MAAC
Akron,3,Creighton,0,Big East,Big East
West Virginia,2,Georgia St.,1,Sun Belt,Sun Belt
Harvard,1,Stonehill,2,Ivy League,NEC
Coastal Carolina,2,Old Dominion,3,Sun Belt,Sun Belt
UCF,2,Kentucky,1,Sun Belt,Sun Belt
Missouri St.,0,Saint Louis,0,MVC,Atlantic 10
South Carolina,3,James Madison,1,Sun Belt,Sun Belt
Marshall,4,Ga. Southern,1,Sun Belt,Sun Belt
UC Santa Barbara,4,CSUN,3,Big West,Big West
Cal St. Fullerton,3,Sacramento St.,1,Big West,Big West
Cal Poly,1,UC Irvine,1,Big West,Big West
UC San Diego,0,UC Riverside,1,Big West,Big West
Mercyhurst,2,Le Moyne,0,NEC,NEC
UTRGV,0,San Diego St.,0,WAC,WAC
Air Force,2,Utah Tech,3,WAC,WAC
Chicago St.,1,FDU,2,NEC,NEC
Utah Valley,0,UNLV,0,WAC,WAC
Grand Canyon,1,California Baptist,2,WAC,WAC
Virginia Tech,0,Duke,1,ACC,ACC
Delaware,1,Drexel,2,CAA,CAA
Pittsburgh,4,Virginia,1,ACC,ACC
Michigan,2,Maryland,0,Big Ten,Big Ten
Central Ark.,1,FGCU,2,ASUN,ASUN
Ohio St.,2,Northwestern,0,Big Ten,Big Ten
Belmont,0,NIU,1,MVC,MVC
Clemson,6,Syracuse,1,ACC,ACC
SMU,3,Wake Forest,0,ACC,ACC
Evansville,1,Bowling Green,0,MVC,MVC
Lindenwood,1,Liberty,0,OVC,OVC
Gonzaga,1,Portland,2,WCC,WCC
Washington,2,Rutgers,0,Big Ten,Big Ten
UCLA,1,Indiana,2,Big Ten,Big Ten
Western Mich.,0,Bradley,0,MVC,MVC
Col. of Charleston,3,Hofstra,1,CAA,CAA
Massachusetts,1,Duquesne,0,Atlantic 10,Atlantic 10
Harvard,1,Columbia,0,Ivy League,Ivy League
Northern Ky.,1,Milwaukee,4,Horizon,Horizon
Canisius,2,Mount St. Mary's,1,MAAC,MAAC
Detroit Mercy,2,Wright St.,0,Horizon,Horizon
Bucknell,1,Colgate,0,Patriot,Patriot
Oakland,3,Robert Morris,2,Horizon,Horizon
Villanova,0,Providence,1,Big East,Big East
Lafayette,1,Loyola Maryland,0,Patriot,Patriot
Boston U.,2,American,2,Patriot,Patriot
Georgetown,4,DePaul,0,Big East,Big East
Temple,0,FIU,0,The American,The American
VMI,0,UNC Greensboro,1,SoCon,SoCon
St. John's (NY),1,UConn,1,Big East,Big East
Radford,1,Winthrop,3,Big South,Big South
Niagara,0,Manhattan,2,MAAC,MAAC
UNCW,3,Monmouth,0,CAA,CAA
Saint Peter's,2,Fairfield,0,MAAC,MAAC
Eastern Ill.,2,Southern Ind.,2,OVC,OVC
St. Thomas (MN),0,Denver,4,Summit League,Summit League
Green Bay,2,IU Indy,0,Horizon,Horizon
Longwood,0,UNC Asheville,4,Big South,Big South
SIUE,3,Western Ill.,0,OVC,OVC
Quinnipiac,0,Iona,1,MAAC,MAAC
Creighton,6,Butler,1,Big East,Big East
Princeton,1,Yale,0,Ivy League,Ivy League
Saint Joseph's,3,Rhode Island,2,Atlantic 10,Atlantic 10
Davidson,1,Dayton,5,Atlantic 10,Atlantic 10
UAlbany,1,New Hampshire,5,America East,America East
Lehigh,0,Navy,1,Patriot,Patriot
Gardner-Webb,4,USC Upstate,0,Big South,Big South
UMass Lowell,1,NJIT,1,America East,America East
ETSU,1,Furman,1,SoCon,SoCon
Queens (NC),0,North Florida,2,ASUN,ASUN
George Mason,4,St. Bonaventure,1,Atlantic 10,Atlantic 10
UC Davis,2,UC San Diego,0,Big West,Big West
Holy Cross,1,Army West Point,0,Patriot,Patriot
Elon,4,Northeastern,2,CAA,CAA
Cleveland St.,3,Purdue Fort Wayne,0,Horizon,Horizon
Marist,0,Merrimack,0,MAAC,MAAC
Xavier,0,Seton Hall,1,Big East,Big East
La Salle,1,VCU,1,Atlantic 10,Atlantic 10
Brown,0,Cornell,1,Ivy League,Ivy League
Bellarmine,2,Jacksonville,1,ASUN,ASUN
Rider,1,Siena,0,MAAC,MAAC
Fordham,5,Loyola Chicago,1,Atlantic 10,Atlantic 10
Boston College,4,Stony Brook,2,ACC,CAA
Mercer,0,Wofford,1,SoCon,SoCon
UMBC,1,Vermont,0,America East,America East
William & Mary,2,Campbell,3,CAA,CAA
Penn,3,Dartmouth,2,Ivy League,Ivy League
South Fla.,1,Tulsa,2,The American,AAC
Presbyterian,1,High Point,2,Big South,Big South
Penn St.,0,Wisconsin,2,Big Ten,Big Ten
Kansas City,3,Omaha,2,Summit League,Summit League
Lipscomb,1,Stetson,1,ASUN,ASUN
Saint Louis,5,George Washington,0,Atlantic 10,Atlantic 10
Drake,1,UIC,0,MVC,MVC
UIW,0,Houston Christian,0,OVC,OVC
Memphis,2,Fla. Atlantic,1,The American,The American
Marquette,0,Akron,3,Big East,Big East
UC Irvine,3,Sacramento St.,1,Big West,Big West
UC Santa Barbara,1,Cal St. Fullerton,1,Big West,Big West
LMU (CA),1,San Francisco,2,WCC,WCC
CSU Bakersfield,4,UC Riverside,1,Big West,Big West
CSUN,1,Cal Poly,1,Big West,Big West
Pacific,1,Santa Clara,2,WCC,WCC
San Jose St.,1,Seattle U,4,WAC,WAC
San Diego,2,Oregon St.,0,WCC,WCC
Le Moyne,2,Howard,0,NEC,NEC
FDU,3,Mercyhurst,0,NEC,NEC
LIU,2,Stonehill,0,NEC,NEC
UTRGV,2,California Baptist,0,WAC,WAC
Central Conn. St.,0,Saint Francis,2,NEC,NEC
Bryant,4,Binghamton,1,America East,America East
Air Force,0,UNLV,3,WAC,WAC
California,0,Notre Dame,2,ACC,ACC
Georgia St.,3,Marshall,3,Sun Belt,Sun Belt
NC State,1,Louisville,0,ACC,ACC
Old Dominion,1,South Carolina,3,Sun Belt,Sun Belt
Charlotte,0,UAB,0,The American,AAC
James Madison,2,West Virginia,2,Sun Belt,Sun Belt
Ga. Southern,2,UCF,0,Sun Belt,Sun Belt
Kentucky,5,Coastal Carolina,0,Sun Belt,Sun Belt
Stanford,1,North Carolina,2,ACC,ACC
Grand Canyon,0,San Diego St.,1,WAC,WAC
Utah Valley,2,Utah Tech,1,WAC,WAC
Bellarmine,2,FGCU,0,ASUN,ASUN
Villanova,1,Drexel,1,Big East,CAA
VMI,0,Queens (NC),3,SoCon,ASUN
Ohio St.,2,Michigan St.,2,Big Ten,Big Ten
Gardner-Webb,1,UNC Asheville,1,Big South,Big South
Virginia Tech,2,Davidson,2,ACC,Atlantic 10
Rutgers,3,Maryland,1,Big Ten,Big Ten
Clemson,2,Wofford,1,ACC,SoCon
Mercer,4,Winthrop,0,SoCon,Big South
Brown,2,Rhode Island,1,Ivy League,Atlantic 10
Duke,4,Longwood,1,ACC,Big South
Princeton,5,Seton Hall,2,Ivy League,Big East
Belmont,2,Lipscomb,0,MVC,ASUN
Indiana,6,Northwestern,1,Big Ten,Big Ten
Saint Louis,7,Blackburn,0,Atlantic 10,Not D1
Quinnipiac,3,Merrimack,2,MAAC,MAAC
Mount St. Mary's,1,Saint Peter's,3,MAAC,MAAC
Marist,4,Niagara,1,MAAC,MAAC
Virginia,4,Mary Washington,2,ACC,Not D1
Manhattan,0,Rider,2,MAAC,MAAC
Dayton,2,VCU,0,Atlantic 10,Atlantic 10
Fairfield,1,Sacred Heart,0,MAAC,MAAC
Denver,2,Kansas City,1,Summit League,Summit League
Oral Roberts,3,St. Thomas (MN),0,Summit League,Summit League
Oregon St.,5,LMU (CA),1,WCC,WCC
Portland,2,Saint Mary's (CA),2,WCC,WCC
San Francisco,0,San Diego,1,WCC,WCC
Santa Clara,1,Gonzaga,0,WCC,WCC
Mercyhurst,0,LIU,0,NEC,NEC
Western Ill.,0,UIW,2,OVC,OVC
Eastern Ill.,0,Lindenwood,2,OVC,OVC
Southern Ind.,1,SIUE,2,OVC,OVC
San Jose St.,3,Grand Canyon,0,WAC,WAC
West Virginia,0,Coastal Carolina,0,Sun Belt,Sun Belt
Howard,0,FDU,1,NEC,NEC
Liberty,0,Houston Christian,0,OVC,OVC
California Baptist,4,Air Force,2,WAC,WAC
Seattle U,3,UTRGV,1,WAC,WAC
American,1,Holy Cross,1,Patriot,Patriot
Oakland,1,Green Bay,0,Horizon,Horizon
Purdue Fort Wayne,1,Northern Ky.,3,Horizon,Horizon
Robert Morris,1,Detroit Mercy,1,Horizon,Horizon
UMass Lowell,1,Vermont,2,America East,America East
Virginia Tech,2,Clemson,2,ACC,ACC
Lehigh,1,Colgate,2,Patriot,Patriot
Milwaukee,3,IU Indy,1,Horizon,Horizon
Army West Point,2,Loyola Maryland,2,Patriot,Patriot
Binghamton,1,UAlbany,1,America East,America East
