Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Ethan Hackenberg,Virginia Tech,Forward,702,5,1,33,18,7,64
Josh Martinez,San Diego,Midfielder,672,0,4,8,3,12,64
Jordin Wilson,Elon,Forward,728,0,1,12,6,6,64
Jace Clark,Maryland,Defender,677,0,0,7,3,7,64
Ethan Wilson,NIU,Defender,1007,0,0,0,0,2,64
Cailen Thomas,Binghamton,Defender,601,3,1,9,5,7,64
Italo Jenkins,Omaha,Forward,741,4,1,16,11,9,64
Mathis Pilon St-Louis,Omaha,Forward,712,4,0,25,15,19,64
Murphy Parker,Michigan,Midfielder,602,0,2,3,0,31,64
Muslim Umar,Portland,Midfielder,604,1,1,10,6,23,64
Ross Appolon,Stetson,Defender,750,0,0,3,0,6,64
Arnau Rabassa Guillamon,Central Conn. St.,Midfielder,1106,1,2,36,9,22,64
William Arnesen,Old Dominion,Forward,862,3,1,31,13,9,64
Joseph Lee,Lafayette,Defender,741,0,0,0,0,3,64
Juan Pablo Gonzalez,Jacksonville,Defender,621,1,0,7,4,9,64
Drew Roskos,Bucknell,Forward,1214,3,3,35,13,4,64
Hugo Gerbore,Seton Hall,Midfielder,681,1,2,7,4,16,64
Trevor Rau,Central Conn. St.,Defender,1177,1,0,10,7,2,64
Zach Ramsey,Washington,Midfielder,700,2,2,13,6,7,64
Jonas Lyshoj,Bryant,Forward,863,0,2,32,15,4,64
Christian Dionne,Penn St.,Midfielder,781,2,4,9,3,13,64
Jack Finnegan,UIC,Forward,795,2,1,15,8,15,64
Sven Meacham,Yale,Defender,718,0,1,4,3,2,64
Joshua Cline,Northern Ky.,Defender,643,0,0,4,0,19,64
Oliver Stone,Utah Tech,Midfielder,724,2,0,9,4,22,64
Nicholas Kaloukian,Syracuse,Forward,705,2,0,32,18,22,64
Cesare D'Amico,UNCW,Forward,850,3,2,7,5,16,64
Matthew Sacristan,Cal St. Fullerton,Midfielder,759,0,0,6,0,6,64
Alex Balkey,Binghamton,Midfielder,692,1,0,8,1,16,64
Gage Lyons,Army West Point,Forward,1056,6,0,36,18,9,64
Jahmir Flowers,Elon,Midfielder,680,1,0,8,1,9,64
Joseph Farouz,Yale,Forward,1016,6,2,15,8,19,64
Oren Stuppel,Cal Poly,Forward,1000,2,1,8,6,18,64
O'Neil Dawes,Villanova,Defender,819,1,0,2,1,11,64
Ousmane Ba,UCF,Midfielder,708,0,1,5,0,18,64
Marci Killeen,Boston College,Midfielder,722,1,1,9,4,9,64
Jared Weber,American,Midfielder,789,1,1,10,3,11,64
Louis Beckett,UNC Asheville,Midfielder,669,2,4,30,12,5,64
Sebastian Fuentes,CSUN,Forward,924,0,1,5,1,13,64
Iain Wagner,San Diego,Midfielder,680,0,1,13,4,11,64
Itay Soffer,Northern Ky.,Midfielder,801,0,2,8,2,13,64
Brayden Beason,San Francisco,Forward,802,5,1,28,13,16,64
Joshua Torres,UIC,Forward,817,1,1,28,14,11,64
Jalen Anderson,South Fla.,Forward,896,3,2,28,13,12,64
Erik Langwagen,Quinnipiac,Defender,747,0,1,2,1,5,64
Afonso Conde,Stetson,Midfielder,734,4,0,17,8,7,64
Mikey Johnson,Delaware,Forward,634,5,4,25,13,14,64
Rohan Mceligot,California,Midfielder,631,1,2,13,3,15,64
Jayvin Van Deventer,Northwestern,Midfielder,756,0,3,9,3,12,64
Andrew Mcgee,UC San Diego,Midfielder,752,1,0,25,9,19,64
Thomas Brooks,Niagara,Midfielder,995,1,0,7,1,6,64
Jakob Priestman,Le Moyne,Forward,813,1,2,13,3,8,64
Hugo Moldin,Wofford,Defender,651,1,0,5,3,6,64
Rubyn Singh,Belmont,Midfielder,748,1,1,3,2,14,64
Chris Comber,Binghamton,Defender,705,2,0,5,4,4,64
Tony Yeboah,Manhattan,Forward,893,2,3,21,7,15,64
Ben Foulks,Creighton,Defender,463,0,1,5,3,29,64
Kerfalla Toure,Fla. Atlantic,Defender,622,0,2,1,0,6,64
Miguel Regino,Utah Tech,Defender,733,0,0,7,1,3,64
Pierce Dyal,Santa Clara,Midfielder,813,0,1,7,1,10,64
Parker Sloan,Virginia,Defender,676,0,0,4,0,3,64
Gianni Angaran,Canisius,Midfielder,865,0,0,3,0,9,64
Olafur Freysson,Siena,Midfielder,668,2,3,13,6,9,64
Felipe Mercado,Pittsburgh,Midfielder,632,0,0,10,1,9,64
Nick Kirby,Sacred Heart,Defender,723,0,0,2,0,10,64
Giovanni Leon,IU Indy,Defender,713,0,1,1,0,7,64
Adam Yousfi,Memphis,Midfielder,686,3,0,22,9,15,64
Drew Blackwell,La Salle,Midfielder,730,1,5,14,4,5,64
Jaime Ponce,Bradley,Defender,742,0,0,1,0,7,64
