Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Isaiah Barber,UC Santa Barbara,Midfielder,760,2,2,10,4,23,69
Harvey Ormerod,Saint Peter's,Midfielder,1124,1,0,14,4,25,69
Lukas Juodkunaitis,UC Riverside,Midfielder,945,0,1,20,5,16,69
Shion Soga,Michigan St.,Midfielder,909,0,2,18,4,20,69
Loic Sany Kong,Marshall,Forward,862,2,3,25,11,12,69
Javanne Smith,Lipscomb,Forward,993,6,2,43,24,29,69
Edward Castro,UC Riverside,Forward,1145,2,2,20,8,15,69
Donovan Mcclellan,Radford,Defender,1061,0,0,6,3,29,69
Alvaro Heredia,NJIT,Midfielder,848,2,2,21,10,24,69
Anthony Rowan,Delaware,Defender,900,0,1,3,1,11,69
Harvey Skurek,Saint Peter's,Defender,1034,0,0,1,1,16,69
Mydas Smalls,LMU (CA),Midfielder,993,0,2,13,3,17,69
Silas Rustin,Detroit Mercy,Midfielder,986,0,0,5,1,20,69
Jorge Quintero,Cal St. Fullerton,Midfielder,868,1,2,16,1,9,69
Baxter Hurt,Lipscomb,Defender,978,0,0,6,1,6,69
Javier Lopez Sanchez,UCF,Midfielder,866,1,2,13,4,10,69
Charlie Herley,Loyola Maryland,Forward,1243,1,3,15,7,13,69
Ricky Schissler,UMBC,Defender,756,1,2,8,1,9,69
Zane Brown,Central Conn. St.,Midfielder,1408,3,1,8,4,21,69
Ryan Calheira,UMBC,Forward,995,4,0,33,19,15,69
Jaxson Kahawai,Stonehill,Defender,1074,0,1,12,3,7,69
Orri Thorhallsson,Delaware,Midfielder,837,0,1,8,2,21,69
Olivier Sylvain,San Francisco,Midfielder,781,1,1,17,5,26,69
Sean Vaghedi,George Washington,Midfielder,1165,0,2,5,4,16,69
Faris Colic,St. Thomas (MN),Forward,1082,6,2,37,16,24,69
Ian Smith,Saint Mary's (CA),Forward,1116,1,0,11,5,20,69
Ben Liscum,Penn St.,Midfielder,981,1,0,4,1,12,69
Levi Pillar,Brown,Midfielder,886,0,2,9,6,12,69
Anthony Godinez,Utah Tech,Defender,792,1,0,10,4,19,69
Oliver Roche,Virginia Tech,Forward,850,5,0,37,20,13,69
Alberto Sanchez Cervera,Niagara,Defender,1112,0,0,3,2,17,69
Alex Chow,Stanford,Midfielder,819,0,2,6,1,15,69
Ryan Yang,Columbia,Midfielder,1062,0,0,20,5,23,69
Sam White,Bryant,Midfielder,785,3,2,20,12,9,69
Andrew Valverde,UC San Diego,Midfielder,900,4,1,14,8,12,69
Kyle Skevington,Air Force,Defender,1145,0,0,4,1,5,69
Alejandro Giner,St. Thomas (MN),Midfielder,1051,2,2,18,6,19,69
Dylan Kropp,Xavier,Defender,785,1,1,10,3,4,69
Loed Klaasen,Coastal Carolina,Midfielder,1055,1,0,24,8,22,69
Steven Hernandez,UNC Greensboro,Forward,981,0,3,7,1,9,69
Ian Graham,James Madison,Defender,799,0,0,0,0,1,69
Andrey Mcintyre,Lafayette,Forward,1068,4,1,18,9,30,69
Mason Tatafu,Louisville,Defender,845,1,0,5,2,12,69
Jacob Bilyeu,SIUE,Forward,1092,2,1,12,7,4,69
Kgodiso Sukati,UTRGV,Forward,1101,4,2,17,6,19,69
Beto Soto,Michigan,Forward,1119,3,9,32,13,5,69
Matheo Francou,Central Ark.,Midfielder,859,1,1,4,1,14,69
Gabriele Galluccio,Kansas City,Midfielder,751,2,3,11,5,4,69
Amit Magoz,NJIT,Midfielder,921,1,0,17,5,8,69
Max Trethewey,West Virginia,Midfielder,805,1,1,9,5,15,69
Morris Matthews,Northeastern,Midfielder,841,1,1,17,7,18,69
Joao Saraiva,Bradley,Midfielder,905,1,2,17,9,19,69
Bradley Takamo,Omaha,Forward,893,0,1,31,8,22,69
Abdul Al-Rashed,Oakland,Midfielder,892,4,1,20,11,10,69
Herman Rugland,Merrimack,Midfielder,1072,1,3,12,5,16,69
Zac Siebenlist,UC Santa Barbara,Forward,906,5,1,29,14,20,69
Luka Lukic,UC Riverside,Forward,1089,5,4,35,18,21,69
Jorge Pacheco,St. Thomas (MN),Midfielder,1135,0,3,6,0,8,69
Erick Ruiz,Rutgers,Defender,842,0,0,3,0,22,69
Omar Jallow,Drexel,Forward,785,3,1,14,9,22,69
Ethan Harris,Colgate,Midfielder,1007,0,1,0,0,6,69
Ricardo Garcia,Houston Christian,Midfielder,902,1,1,13,3,5,69
Cole Barrett,UC San Diego,Midfielder,913,1,1,17,9,11,68
Ben Fisher,Charlotte,Midfielder,765,0,5,10,3,17,68
Carson Chochon,Omaha,Defender,794,1,0,5,3,7,68
Richie Ludwig,Michigan St.,Forward,1282,2,2,22,6,12,68
Leo Conneh,Liberty,Forward,868,2,4,25,12,8,68
Miguel Rodeia,Bryant,Defender,653,1,2,7,3,8,68
Kyle Pollard,Canisius,Midfielder,993,1,1,9,6,7,68
Joseph Mwamba,Rhode Island,Defender,824,0,0,2,0,8,68
Matthias Heiland,Cal St. Fullerton,Midfielder,781,0,4,12,2,18,68
Jared Harlock,Missouri St.,Midfielder,750,1,3,8,3,5,68
Hogan Walker,Col. of Charleston,Defender,843,0,0,3,1,9,68
Petro Klishch,Elon,Forward,808,2,0,10,5,9,68
Mikah Thomas,UConn,Defender,704,1,1,7,3,7,68
Gabe Ruitenberg,William & Mary,Midfielder,840,3,1,17,11,7,68
Cole Dougherty,Saint Louis,Defender,756,0,1,0,0,9,68
Sandro Rabarivony,Presbyterian,Midfielder,806,4,3,25,7,16,68
Cooper Brunell,Washington,Midfielder,846,2,0,20,3,8,68
Damian Arguello,Utah Tech,Midfielder,952,1,0,15,8,20,68
Kevin Cull,Holy Cross,Midfielder,938,0,3,8,3,12,68
Luke Neely,Lindenwood,Defender,782,0,2,3,1,8,68
Petar Janjic,Loyola Chicago,Forward,903,0,3,17,5,23,68
Abdoul Karim,Marquette,Forward,1039,1,2,26,14,25,68
Angi Bacic,Howard,Defender,1084,2,0,8,4,12,68
Lucho Galizzi,Memphis,Forward,1060,4,1,26,15,19,68
Fernando Valenzuela,Cal St. Fullerton,Midfielder,773,3,3,13,8,10,68
Isaiah Chisolm,Kentucky,Forward,765,2,0,15,6,29,68
Mario Carlos,Cal St. Fullerton,Forward,812,3,4,22,10,16,68
Triton Beauvois,Virginia,Forward,869,2,2,13,3,9,68
Jan Quispel,California Baptist,Midfielder,932,0,2,3,1,15,68
Stian Bendvold,Col. of Charleston,Forward,760,1,0,17,6,4,68
Francisco Ferreira,Quinnipiac,Midfielder,826,2,3,24,8,23,68
Samuel Hershey,American,Forward,1021,5,1,22,15,27,68
Kyle Smith,Stony Brook,Midfielder,912,0,2,7,1,13,68
Drew Seguro,Quinnipiac,Midfielder,873,1,4,18,9,13,68
Inigo Etxegarai,Rhode Island,Forward,1080,3,2,18,7,31,68
Leo Mendez,California Baptist,Forward,1125,5,1,16,8,23,68
Lovro Kostanjsek,South Fla.,Midfielder,844,2,4,15,8,14,68
Jack Englebert,LMU (CA),Midfielder,1005,0,0,11,4,5,68
Jackson Sullivan,Bucknell,Defender,802,0,0,4,2,4,68
Pearse O'Brien,Providence,Midfielder,842,1,4,15,5,10,68
Nicolas Hald Willumsen,UC Santa Barbara,Forward,872,6,2,38,12,20,68
Ben Bischof,Loyola Chicago,Midfielder,828,2,2,13,5,25,68
Jacobo Sanfeliu,SIUE,Forward,1016,6,0,46,22,9,68
James Wilson,Dartmouth,Forward,997,0,0,11,3,6,68
Cassidy Tanddo,Saint Joseph's,Defender,1005,0,0,2,0,5,68
Shane Anderson,Purdue Fort Wayne,Forward,996,7,0,36,13,14,68
Luca Naumann,Lipscomb,Midfielder,930,0,1,10,3,20,68
Collin Sullivan,Bucknell,Defender,809,0,0,1,1,3,68
Luke Nicholson,Green Bay,Midfielder,801,5,1,26,10,6,68
Michael Huss,Liberty,Forward,824,11,2,35,23,15,68
Robbie Matei,San Diego St.,Forward,1116,4,1,22,8,15,68
Manuel Cordeiro,Utah Valley,Midfielder,893,1,0,2,1,10,68
Ulysses Hendriks,ETSU,Midfielder,902,0,0,0,0,17,68
Sebastian Soriano,FGCU,Defender,900,0,0,1,0,8,68
Jack Fischer,Bellarmine,Midfielder,906,0,0,5,2,9,68
Evan Rabush,William & Mary,Defender,765,0,5,8,2,4,68
Lewis Redding,Old Dominion,Defender,744,0,3,5,3,6,68
Arnaud Tattevin,UNC Greensboro,Forward,922,7,2,33,18,11,68
Gabriel Duchovny,Princeton,Midfielder,813,1,2,7,3,12,68
Lockie Fay,Mercyhurst,Midfielder,784,0,0,11,4,19,68
Lawson Redmon,Saint Louis,Defender,671,0,3,8,3,8,68
Jack Kossoudji,Seton Hall,Midfielder,855,1,4,11,7,10,68
Leo Guarino,Boston College,Forward,1010,1,3,27,13,16,68
Danny Lokko,Cornell,Forward,733,3,4,23,12,17,68
Alex De Nittis,Saint Francis,Midfielder,829,2,3,26,12,14,68
Mouhamed Tucker,VCU,Midfielder,910,2,0,11,6,12,68
Samuel Owusu,Evansville,Forward,823,4,3,19,8,9,68
Milo Wray,James Madison,Midfielder,800,1,2,11,5,13,68
Tyler Glassberg,Northwestern,Midfielder,881,2,2,12,8,5,68
Aidan Davock,Providence,Forward,1077,5,2,32,14,7,68
Omre Ettienne,Saint Peter's,Defender,981,0,0,3,1,15,68
Jose Antonio Herrera,IU Indy,Forward,1227,6,0,28,12,6,68
Tyson Amoo-Mensah,DePaul,Midfielder,857,0,0,3,1,19,68
Jack Kampe,Stonehill,Defender,1058,1,0,10,3,3,68
Matteo Mazzotta,Saint Joseph's,Midfielder,1127,2,2,15,6,4,68
Cade Bender,Queens (NC),Midfielder,976,0,0,2,0,19,68
Leon Kondic,Louisville,Midfielder,772,2,5,13,6,5,68
Chris Maldonado,San Francisco,Forward,952,2,1,9,4,11,68
Jeffrey Cox,Bellarmine,Defender,771,2,1,8,4,5,68
Jameson Charles,North Carolina,Midfielder,765,0,0,0,0,7,68
Sean Kerrigan,Michigan St.,Midfielder,762,4,1,28,13,22,68
William Hitchcock,VCU,Midfielder,869,0,1,13,4,21,68
Macoumba Ba,St. John's (NY),Forward,943,2,0,24,11,24,68
Doug Hainer,Coastal Carolina,Midfielder,1014,3,1,27,14,14,68
Luc Granitur,North Florida,Forward,896,2,4,15,6,15,67
Jeremy Talsma,Niagara,Defender,1028,1,0,9,6,5,67
Owen Ruddy,Old Dominion,Defender,649,0,1,8,2,16,67
Diego Candia,Winthrop,Defender,1206,0,0,0,0,7,67
Fitz Williams,Cal St. Fullerton,Forward,805,4,2,30,10,13,67
Troy Matingou,Howard,Defender,1113,0,0,2,1,7,67
Morgan Dance,Presbyterian,Midfielder,698,3,2,14,6,26,67
Miguel Ventura,Creighton,Defender,722,1,1,9,7,9,67
Aymane Sordo,Marshall,Midfielder,709,3,1,19,7,9,67
Erick Rios,UIW,Forward,1024,1,1,14,7,18,67
Tyquan Stroud,UMBC,Midfielder,784,1,4,12,7,11,67
Michael Teduits,Villanova,Midfielder,940,2,3,18,6,3,67
Ivar Orri Gissurarson,UAlbany,Midfielder,912,2,1,11,6,16,67
Sean Battistessa,Sacramento St.,Forward,910,5,1,20,12,14,67
Tim Smith,Marquette,Midfielder,863,0,1,11,6,12,67
Austin Bush,New Hampshire,Midfielder,774,0,3,14,5,13,67
Harris Connor,Missouri St.,Defender,759,0,0,3,0,2,67
Michel Feldman,Queens (NC),Forward,1097,4,2,17,8,21,67
Theo Drennan,VCU,Midfielder,857,0,0,6,2,18,67
Dino Stavros,Memphis,Midfielder,916,0,0,4,1,3,67
Segun Afolabi,Mercer,Forward,963,3,4,28,13,33,67
Borris Nguelle,Winthrop,Defender,1021,0,3,7,5,20,67
Nick Harshaw,Bellarmine,Midfielder,774,4,1,15,11,9,67
Jack Crocco,William & Mary,Defender,795,0,0,5,1,12,67
Junior Casillas,Omaha,Midfielder,804,1,0,15,7,5,67
Eli Conway,UConn,Forward,952,4,3,28,13,19,67
Lucas Rizzo,UAB,Midfielder,908,4,1,14,8,12,67
Ziv Dahan,Manhattan,Forward,949,7,1,29,11,25,67
Benjamin Donato,Stetson,Midfielder,867,0,2,7,3,13,67
Rodrigo Canovas,Queens (NC),Midfielder,955,1,0,6,3,11,67
Jason Purks,Northern Ky.,Midfielder,759,3,3,20,9,25,67
Maxi Hopfer,Duquesne,Forward,937,7,5,30,16,38,67
Fredrik Moen,Quinnipiac,Midfielder,816,3,1,8,4,12,67
Jose Silva,Iona,Midfielder,766,2,3,7,5,6,67
Trevor Walk,Utah Valley,Forward,1002,0,2,7,3,12,67
Erik Dalaker,Harvard,Midfielder,857,0,1,14,4,20,67
Joaquin Niehenke,Penn,Defender,716,0,2,2,1,4,67
Michael Appiah,FIU,Forward,980,4,0,26,14,9,67
Jackson Triche,Radford,Defender,1110,0,1,4,2,6,67
Joe O'Connor,Ga. Southern,Midfielder,714,2,2,4,2,25,67
Tamir Ratoviz,UCLA,Midfielder,681,2,5,9,3,13,67
Kevin Ventura,Central Ark.,Defender,852,2,0,2,2,5,67
Fernando Venegas,Sacramento St.,Defender,750,2,1,8,2,11,67
Cristian Guirado,Bryant,Forward,937,4,0,26,12,9,67
Diego Valles,Villanova,Midfielder,972,0,0,3,0,8,67
Aaron Markowitz,Temple,Defender,705,2,0,10,4,4,67
Ivan Jolivet,UAB,Midfielder,973,0,0,9,6,15,67
Alex Johnson,Belmont,Defender,769,0,0,2,0,7,67
Shaquan Reid,Chicago St.,Defender,1170,0,1,1,1,16,67
Jesper Schone Vogtengen,Siena,Defender,753,0,0,1,1,7,67
Travis Babineau,UC Irvine,Defender,736,0,2,7,2,5,67
Simon Johansson,Merrimack,Defender,928,1,1,3,1,14,67
Kyle Blasingame,Bowling Green,Midfielder,757,0,1,3,2,15,67
Jesse Lee,VMI,Midfielder,879,4,4,21,12,8,67
Duilio Herrera,Michigan,Midfielder,753,1,2,14,4,29,67
Jaydon Fuller,Delaware,Forward,752,2,4,24,8,11,67
Wyand Wessels,Gardner-Webb,Defender,782,1,0,5,2,11,67
Keaviano Francis,UTRGV,Forward,1036,4,2,30,16,18,67
Marko Isakovic,Harvard,Midfielder,836,2,3,18,6,14,67
Pariss Mitchell,Wake Forest,Forward,866,1,2,24,14,13,67
Nathan Trickett,Xavier,Midfielder,910,2,0,21,9,6,67
Cole Cruthers,Rutgers,Midfielder,875,0,2,7,5,14,67
Blake D'Agostino,California Baptist,Forward,950,6,0,31,19,49,67
Angel Gongora,Milwaukee,Midfielder,816,0,1,7,1,13,67
Kristian Kelley,Princeton,Midfielder,766,0,0,7,2,17,66
Julian Kennedy,Wake Forest,Forward,827,1,2,34,9,13,66
Tomas Sentiero,Bryant,Midfielder,722,0,3,20,10,16,66
Barrett Kitts,Drake,Midfielder,765,0,2,3,2,4,66
Matteo Boasso,Lindenwood,Midfielder,728,3,0,19,8,12,66
Andrew Dutra,UC Davis,Defender,642,1,2,9,6,5,66
Emiel Nieuwhof,Western Mich.,Defender,672,1,3,2,2,4,66
Kaylob Walker,San Jose St.,Defender,722,0,0,2,1,15,66
Jackson Gould,St. John's (NY),Midfielder,691,2,3,17,10,14,66
Jelle Van Deijck,Gonzaga,Midfielder,834,1,3,10,4,8,66
Rowan Browne,Navy,Defender,828,0,0,1,1,2,66
Ingvar Kolbjornsen,ETSU,Midfielder,802,1,1,7,1,21,66
Brandon Bermingham,Rhode Island,Forward,1053,3,2,45,21,13,66
Diego Hernandez,Furman,Midfielder,746,0,2,19,7,15,66
Karan Mandair,Old Dominion,Midfielder,801,0,0,7,1,12,66
Jan Schroeder,Delaware,Defender,685,0,6,5,1,7,66
Ethan Schaefer,Drexel,Forward,757,2,0,25,12,6,66
Jake Lane,Bowling Green,Midfielder,700,1,6,12,4,7,66
Tyler Stinnett,Lipscomb,Midfielder,838,2,2,15,9,15,66
Skyler Cunha,Marist,Midfielder,867,1,1,15,7,12,66
Ales Kohoutek,Kansas City,Defender,692,1,5,3,1,5,66
Benjamin Bjorkman,Central Conn. St.,Midfielder,1318,0,0,2,1,10,66
Andre Insalaco,Fordham,Forward,746,4,3,24,11,10,66
Will Starker,Central Conn. St.,Midfielder,1285,0,2,7,2,14,66
Zachary Neuls,UC Davis,Midfielder,728,4,0,15,6,6,66
Emmanuel Denis,Oral Roberts,Midfielder,764,0,0,10,5,8,66
Iragi Kalala,Presbyterian,Midfielder,761,2,3,10,3,14,66
Jason Kemble,Coastal Carolina,Midfielder,999,0,0,6,2,13,66
Ronald Zhai,Army West Point,Forward,1158,4,2,28,10,6,66
Louis Simon,Detroit Mercy,Midfielder,852,1,1,5,2,21,66
Leonardo Martinez,Sacramento St.,Defender,782,0,1,2,0,6,66
Michael Blevins,CSUN,Midfielder,770,4,1,27,12,10,66
Marley Edwards,CSUN,Forward,988,3,2,30,10,11,66
Ian Shaul,Notre Dame,Midfielder,711,1,3,9,3,7,66
Luke Winters,Detroit Mercy,Defender,885,0,2,5,2,7,66
Caleb Johnson,Furman,Midfielder,724,2,2,22,10,16,66
Sam Vigilante,Princeton,Midfielder,772,0,1,9,1,14,66
Matheus Spina,Niagara,Midfielder,1007,1,0,17,10,15,66
Mohamed Cisset,Penn St.,Defender,851,0,0,1,1,12,66
Nicholas Keating,Sacred Heart,Defender,779,0,0,2,1,7,66
Jack Travis,Furman,Defender,641,0,1,6,0,9,66
Gershon Henry,Saint Louis,Defender,665,0,3,2,1,7,66
Junee Lee,Mount St. Mary's,Midfielder,919,3,1,30,19,11,66
Einar Hardarson,Delaware,Defender,824,0,1,3,0,8,66
Umechi Akuazaoku,St. Bonaventure,Forward,926,4,2,28,15,11,66
Chase Tanon,UC Davis,Forward,873,0,5,14,7,12,66
Shoki Yoshida,FGCU,Forward,1182,4,0,36,18,20,66
Henry Hamilton,Manhattan,Forward,925,1,2,18,5,23,66
Sam Divis,NIU,Forward,954,4,2,18,10,11,66
Tom Williams,Georgia St.,Midfielder,876,1,2,10,4,7,66
Ethan Zamora,Portland,Defender,726,0,1,1,0,10,66
Brett Schwab,Rhode Island,Defender,753,0,0,3,0,8,66
Sveinn Hauksson,UCLA,Forward,770,3,1,21,7,8,66
Timothy Ennin,Old Dominion,Forward,823,3,2,13,5,33,66
Ethan Gill,Holy Cross,Forward,1267,1,2,22,7,16,66
Ben Assane Fall,Grand Canyon,Forward,1239,2,5,22,5,20,66
Eamon Fakhri,San Jose St.,Defender,623,0,1,9,2,16,66
Jeremy Opong,Seattle U,Forward,787,4,3,19,9,10,66
Justin Sosa,Saint Mary's (CA),Midfielder,845,2,2,29,13,13,66
Joel Gonzalez,Kentucky,Defender,733,0,1,4,3,7,66
Chris Verheul,Marist,Unknown,1236,4,1,33,15,15,66
Freddie Bell,Penn St.,Midfielder,886,0,0,8,1,15,66
Luke Hoelting,Kansas City,Forward,607,4,0,19,9,8,66
Adil Iggoute,Col. of Charleston,Forward,663,3,4,11,9,9,66
Jake Karolczak,SIUE,Midfielder,772,1,0,12,4,10,65
Guillermo Frances Poquet,UMass Lowell,Midfielder,712,3,2,25,11,4,65
Calle Edelstam,Elon,Midfielder,700,0,3,14,2,11,65
Amari Benjamin,VMI,Midfielder,848,0,0,4,2,18,65
Orion Mchugh,Jacksonville,Defender,737,0,0,0,0,8,65
Quinn Connolly,Lindenwood,Defender,667,1,0,6,3,12,65
Alex Waggoner,Portland,Forward,856,1,0,26,10,16,65
Lennon Gill,Hofstra,Forward,674,4,1,23,11,6,65
Benjamin Fogarty,Siena,Defender,708,0,0,2,0,6,65
Ethan Subachan,Louisville,Forward,684,3,3,16,10,13,65
Carlos Levy,Elon,Defender,714,0,0,3,1,10,65
Ely Sidibe,Canisius,Forward,886,5,1,34,19,20,65
Cameron Radeke,IU Indy,Forward,998,2,2,21,7,34,65
Oliver Snowdon,American,Midfielder,834,0,1,5,0,11,65
Lilian Fichelle,Campbell,Defender,661,0,1,3,0,8,65
Americo Pereira,La Salle,Defender,742,0,0,3,0,5,65
Shun Kushima,Georgia St.,Midfielder,858,0,0,3,2,14,65
Shewit Worton,ETSU,Midfielder,843,1,0,12,3,6,65
Jona Martinez,UC Riverside,Midfielder,776,0,1,8,1,21,65
Luka Assaf,Chicago St.,Midfielder,1017,3,0,8,5,11,65
Maguire Perkins,Omaha,Forward,782,0,1,9,3,11,65
Parker Vasic,Northern Ky.,Midfielder,820,1,1,9,4,17,65
Nico Nee,Princeton,Forward,738,5,1,22,10,31,65
Milan Miric,Queens (NC),Defender,830,0,0,5,1,5,65
Leo Schorr,FGCU,Midfielder,868,2,0,23,11,15,65
Matias De Jesus,Maryland,Midfielder,694,2,1,19,7,16,65
Fernando Arteaga,Mercer,Midfielder,735,1,1,17,4,11,65
Maurice Hauser,Stetson,Midfielder,733,5,1,23,13,8,65
Jack Krongold,NJIT,Midfielder,832,0,0,3,2,6,65
Junhwan Park,San Francisco,Midfielder,693,2,2,27,12,11,65
Clarence Loriot,Stetson,Midfielder,845,1,0,4,2,5,65
Tyler Ware,UNLV,Forward,972,2,0,18,6,28,65
Tatenda Chigede,UIW,Midfielder,803,0,0,11,5,15,65
Justin Jean-Louis,Stony Brook,Midfielder,854,0,1,5,1,9,65
Harrison Krieg,Virginia Tech,Midfielder,709,0,0,8,1,8,65
Aristhid Kamdjin,Longwood,Defender,1034,1,1,7,2,20,65
Aiden O'Sullivan,Radford,Midfielder,1076,0,0,17,6,20,65
Asembo Augo,NJIT,Forward,958,3,2,21,9,19,65
Mackie Sacarellos,Mount St. Mary's,Defender,854,0,2,1,0,4,65
Malick Thiaw,Virginia Tech,Forward,728,3,1,25,11,9,65
Sam Mccann,Sacred Heart,Forward,857,3,4,27,14,6,65
Sam Bjarnason,Harvard,Midfielder,884,0,0,2,1,6,65
Francesco Montanile,UC Irvine,Midfielder,727,1,5,15,8,13,65
Charlie Lawrence,Michigan,Midfielder,689,2,0,10,2,21,65
Naji Elder,Santa Clara,Defender,709,0,0,1,0,11,65
J.P. Pascarella,Drake,Midfielder,702,2,2,8,3,2,65
Koven Johnson,High Point,Midfielder,741,0,0,6,2,8,65
Giancarlo Mota,California,Midfielder,732,1,0,6,4,8,65
Christian Blank,LIU,Defender,739,1,2,4,3,4,65
Michael Peck,Missouri St.,Defender,721,1,0,1,1,2,65
Colton Franklin,UC Davis,Midfielder,775,0,0,3,1,9,65
Jhared Willcot,Sacramento St.,Forward,904,0,1,4,0,4,65
Gabriel Atienza,South Carolina,Defender,671,0,1,6,2,6,65
Oscar Sears,Bryant,Midfielder,664,1,3,10,2,14,65
Charlie Holmes,UConn,Forward,919,2,2,9,4,11,65
Brigham Larsen,Charlotte,Forward,892,4,2,19,7,15,65
Goncalo Franco,NJIT,Midfielder,761,1,0,11,4,18,65
Elias Ehlin,UAlbany,Midfielder,898,1,0,7,2,10,65
Constantin Christou,West Virginia,Midfielder,708,0,2,14,6,10,65
Shane Velez,Massachusetts,Defender,612,3,1,8,3,8,65
Liam Mullins,DePaul,Forward,705,3,4,13,7,12,65
Cohen Musschoot,Bradley,Midfielder,824,0,1,0,0,7,65
Declan Horio,UC Davis,Midfielder,682,3,2,18,7,8,65
Alejandro Silva,Oregon St.,Midfielder,701,1,2,11,4,10,65
Joao Roberto,Marshall,Defender,503,2,1,14,5,22,65
Mason Petrucci,Canisius,Forward,910,2,5,20,10,8,65
Alvaro Torrijos,Tulsa,Midfielder,967,1,3,12,5,13,65
Ahmad Al Qaq,North Carolina,Forward,649,2,2,24,10,14,65
Gabe Villagomez,Western Mich.,Midfielder,600,2,3,12,6,13,65
Braedon Smith,Syracuse,Forward,812,1,2,18,5,6,65
Josip Rimac,Cleveland St.,Forward,754,1,3,14,5,9,65
Oscar Arroyo,Green Bay,Midfielder,819,0,0,4,0,4,65
Brian Burkett,Wright St.,Midfielder,657,2,3,14,7,18,65
Christos Philippou,Lindenwood,Midfielder,740,0,0,4,2,12,65
Spencer Moler,Liberty,Midfielder,690,1,2,4,2,7,64
Benji Chavarria,Loyola Chicago,Forward,800,0,1,10,3,21,64
