Name,Team,Position,Goals,Assists,Shots,Shots On Target,Fouls Won,Minutes Played,MAX,MLS_Drafted
Kyle Cusimano,Bowling Green,Defender,2,2,9,3,19,1668,86.0,False
Pietro Grassi,UCLA,Defender,0,1,5,1,12,1635,86.0,False
Fernando Somolinos,Kansas City,Defender,1,4,16,5,11,1697,86.0,False
Laurie Goddard,Hofstra,Midfielder,9,5,60,30,25,1408,86.0,False
Magnus Kjoller,Wofford,Defender,3,3,20,6,46,1407,86.0,False
Slade Starnes,Furman,Defender,1,4,12,4,19,1449,86.0,False
Demian Alvarez,Seattle U,Defender,1,1,13,5,17,1720,86.0,True
Theo Butterworth,Houston Christian,Defender,1,2,11,4,10,1605,86.0,False
Nic Muench,SIUE,Defender,3,3,28,17,32,1519,86.0,False
Cole Werthmuller,Wright St.,Forward,10,3,40,21,32,1268,86.0,False
Felix Buabeng,Dayton,Forward,4,5,36,10,5,743,86.0,False
Luke Goodman,UC Davis,Defender,1,1,5,1,16,1668,86.0,False
Calle Mollerberg,UC Santa Barbara,Defender,0,0,6,0,40,1626,86.0,False
Jake Shannon,UNCW,Defender,1,2,12,7,18,1810,86.0,False
Ryan Holmes,Ga. Southern,Forward,10,2,45,23,16,1161,86.0,False
Nicholas Dunbar,Portland,Forward,6,2,16,10,5,593,86.0,False
Drew Kerr,Duke,Midfielder,5,10,27,9,16,1159,86.0,True
Frederik Jorgensen,West Virginia,Defender,0,6,17,5,18,1437,86.0,False
Nikolai Rojel,UCLA,Forward,3,1,12,4,5,323,86.0,False
Charlie Heuer,Indiana,Forward,4,2,14,6,10,463,86.0,False
Martin Vician,North Carolina,Forward,10,1,42,24,21,1116,86.0,False
Denis Krioutchenkov,Davidson,Forward,5,7,61,16,32,1126,86.0,False
Patrick Short,Drexel,Midfielder,5,10,37,9,31,1296,86.0,False
Chambron Pinho,SMU,Defender,6,6,45,16,26,1366,86.0,False
Liam Gainey,Western Ill.,Forward,7,2,21,14,10,726,86.0,False
Maxi Hopfer,Duquesne,Forward,7,5,30,16,38,937,86.0,False
Titus Sandy Jr.,Clemson,Defender,0,4,2,1,11,1581,86.0,True
